T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,8,46,84,56,22,22,50,32,30,27,85,81
2,24,78,58,53,14,22,43,19,68,89,45,29
3,11,16,14,95,8,46,63,17,81,7,28,68
4,4,15,63,67,67,35,8,16,33,10,86,53
5,26,56,52,54,46,81,3,16,1,53,23,3
6,43,64,71,93,47,18,18,75,3,58,84,55
7,10,95,80,38,27,91,39,40,46,42,74,70
8,25,60,26,83,26,0,84,14,53,5,,15
9,17,90,93,58,51,73,32,29,87,76,,60
10,98,18,93,0,5,49,71,55,14,43,14,30
11,52,33,66,16,55,45,1,84,80,80,76,71
12,18,87,62,92,78,2,83,0,82,7,81,53
13,38,79,26,96,95,65,48,61,58,55,20,80
14,24,19,96,56,19,20,30,98,85,0,50,4
15,5,6,20,71,92,61,58,57,95,85,81,24
16,48,14,35,6,56,88,92,42,10,30,83,92
17,66,93,8,77,69,64,45,96,49,25,6,15
18,23,94,63,21,17,65,5,39,51,31,81,69
19,86,30,32,18,53,93,32,54,39,1,16,17
20,92,3,69,98,49,7,94,11,89,82,1,19
21,87,81,3,10,73,74,42,68,61,75,2,28
22,27,0,10,47,14,74,42,37,45,35,57,95
23,45,8,86,63,88,9,55,59,33,91,35,21
24,20,58,14,14,73,11,39,89,52,59,38,83
25,52,64,34,7,25,60,82,76,22,10,81,37
26,91,8,91,41,18,17,24,43,20,42,66,68
27,78,71,6,79,88,94,96,47,66,61,21,97
28,32,48,38,7,4,67,17,1,68,22,34,43
29,68,24,83,64,27,63,86,1,10,16,,98
30,90,87,85,71,82,2,36,53,6,32,,32
31,69,,64,,62,70,,72,,56,,91
