T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,56,77,96,9,88,33,33,94,41,15,,32
2,81,11,97,48,45,60,18,52,67,1,,57
3,45,54,91,42,99,96,6,71,76,79,16,76
4,65,96,32,90,4,21,11,9,93,36,24,29
5,80,77,65,97,5,15,98,47,55,82,66,67
6,87,25,56,10,4,45,41,48,9,60,33,57
7,77,45,39,4,53,50,39,27,68,90,14,45
8,96,92,30,21,27,36,79,85,12,11,45,91
9,41,5,59,77,89,34,60,62,41,25,48,83
10,82,6,43,90,13,16,89,42,74,57,29,14
11,63,6,66,87,79,52,51,77,33,30,1,23
12,23,38,13,32,61,46,52,3,34,95,95,72
13,52,46,39,52,63,82,85,85,67,34,8,65
14,42,97,12,36,92,34,39,11,73,27,79,74
15,38,72,83,45,68,81,39,13,43,65,36,70
16,52,19,55,51,62,55,38,53,6,36,12,26
17,36,67,21,89,59,16,63,99,10,85,96,39
18,19,54,60,22,70,75,43,47,71,11,37,65
19,12,96,72,4,97,41,44,30,74,58,64,53
20,70,68,1,15,64,26,60,0,8,84,56,98
21,52,32,6,43,29,78,12,96,40,53,89,72
22,53,36,42,34,88,91,38,29,55,61,17,58
23,16,73,54,20,48,64,42,96,63,94,14,2
24,61,51,70,35,82,87,85,54,69,17,47,51
25,47,39,56,93,97,99,57,54,77,88,42,84
26,59,10,71,11,70,43,94,45,61,82,8,58
27,98,39,84,86,55,63,40,66,54,35,48,63
28,12,19,54,24,60,24,40,97,78,11,36,62
29,99,59,89,1,49,28,31,14,51,22,,99
30,97,63,65,0,54,70,44,22,68,74,,
31,46,,51,,7,82,,70,,84,,
