T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,39,16,77,23,24,34,43,90,70,8,27,98
2,24,96,27,46,97,53,4,51,60,41,15,15
3,37,68,12,71,28,65,41,74,31,83,17,55
4,48,90,34,43,0,96,42,35,17,68,22,9
5,75,82,60,58,55,5,9,45,76,14,84,44
6,75,88,21,66,72,92,25,21,93,99,99,93
7,39,5,18,41,25,85,6,29,23,6,97,60
8,66,85,92,32,51,87,6,44,64,10,51,6
9,36,38,28,32,24,59,91,90,48,81,90,67
10,58,82,64,99,7,62,80,60,21,75,59,70
11,61,48,57,9,32,26,89,93,82,49,89,80
12,24,39,38,14,29,47,37,76,41,92,85,73
13,2,46,72,60,10,35,65,90,3,12,19,40
14,47,83,6,1,5,86,56,77,17,7,84,17
15,39,28,44,15,97,41,1,65,73,41,86,71
16,91,37,11,99,17,33,6,35,91,77,75,91
17,60,31,44,98,17,7,37,7,66,44,31,31
18,99,48,93,75,33,9,92,70,90,19,75,78
19,91,25,39,50,8,43,25,81,89,36,90,61
20,60,66,29,68,71,46,73,39,99,36,55,99
21,81,99,93,74,55,3,82,39,85,78,66,50
22,33,0,72,21,53,69,15,94,83,80,10,
23,80,1,72,73,84,24,71,86,66,55,53,
24,29,29,26,44,77,76,60,1,26,0,48,
25,49,81,49,19,50,18,40,96,47,10,74,
26,59,94,27,76,98,15,60,67,60,89,75,80
27,68,8,37,36,71,19,23,5,35,76,99,41
28,86,37,81,76,46,34,69,10,66,6,87,77
29,61,88,25,18,88,76,81,21,72,56,18,55
30,5,7,10,65,6,3,17,39,86,15,,26
31,98,,61,,99,30,,97,,68,,2
