T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,75,71,58,60,96,22,18,68,41,38,78,63
2,57,58,99,25,18,26,6,98,2,47,49,43
3,33,31,20,58,86,59,7,43,72,51,79,60
4,92,81,27,22,84,10,13,52,2,16,58,37
5,6,10,63,78,78,58,26,9,87,46,25,59
6,3,91,96,38,19,54,69,36,4,10,,72
7,19,61,63,11,56,94,86,55,83,3,,9
8,37,45,24,26,95,70,71,88,88,80,88,56
9,17,82,97,52,58,37,36,82,0,91,48,97
10,36,71,44,14,81,59,97,77,77,79,64,21
11,5,52,52,98,70,13,57,9,60,91,2,27
12,32,24,7,84,74,66,20,61,75,94,95,93
13,30,96,70,44,7,50,91,32,16,46,6,66
14,3,37,65,39,59,11,3,29,45,50,45,75
15,46,89,39,32,57,6,54,70,16,18,73,10
16,54,35,61,22,4,83,60,52,37,17,0,0
17,81,37,77,6,21,28,77,12,78,64,23,98
18,58,62,58,78,13,48,18,22,1,99,94,30
19,78,20,42,54,38,64,51,68,10,80,65,98
20,47,49,20,1,9,18,44,44,40,97,27,13
21,4,76,72,27,27,65,66,62,28,5,59,22
22,30,34,17,10,33,58,99,1,3,13,35,93
23,71,88,64,68,20,51,17,34,61,84,92,98
24,51,31,15,10,95,96,68,23,33,82,31,64
25,75,19,86,73,75,98,66,87,44,1,6,31
26,27,91,76,98,15,29,30,5,64,32,82,38
27,16,36,77,32,27,85,82,8,1,60,1,94
28,26,41,7,10,56,6,95,35,33,8,42,60
29,73,69,55,2,50,59,42,16,62,8,8,88
30,14,78,11,52,29,87,8,87,70,35,,74
31,37,,5,,83,24,,6,,36,,99
