T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,15,99,23,6,24,5,63,33,55,14,26,54
2,6,7,89,62,12,19,54,20,48,14,62,32
3,13,96,40,39,80,23,38,70,56,72,0,91
4,53,37,26,2,10,36,37,31,59,49,54,26
5,15,83,11,60,83,90,99,35,38,5,30,82
6,30,10,79,36,17,84,34,24,23,32,65,50
7,15,15,37,99,7,84,55,73,57,64,0,71
8,54,18,8,8,32,20,0,92,92,74,14,26
9,58,72,79,73,51,88,24,67,55,0,58,95
10,39,17,21,7,91,44,4,34,54,39,32,45
11,69,10,33,20,27,46,93,38,43,4,72,43
12,57,13,78,0,39,75,19,39,7,67,18,2
13,59,62,52,72,47,27,39,15,11,26,,25
14,94,36,29,58,87,18,38,17,95,94,,4
15,78,49,65,5,87,73,1,13,56,6,,11
16,11,63,58,92,17,95,85,25,9,16,,16
17,9,31,17,45,84,15,49,2,75,8,25,15
18,63,31,83,0,88,40,22,98,53,99,70,82
19,2,80,37,72,83,20,48,98,35,48,6,24
20,3,52,49,65,32,71,16,47,20,24,9,91
21,41,73,58,92,10,15,99,95,30,11,87,48
22,93,68,43,24,78,0,28,96,17,56,53,36
23,95,8,93,87,83,96,92,8,16,90,38,65
24,32,98,55,93,10,41,91,60,58,64,79,63
25,45,43,69,66,97,84,94,75,14,89,4,24
26,90,43,95,19,62,83,6,44,70,64,22,4
27,10,51,11,40,3,59,27,30,84,38,32,47
28,62,8,31,97,54,63,74,88,76,70,36,96
29,24,41,39,92,3,60,46,33,9,97,,70
30,17,97,54,64,36,32,3,63,33,35,,30
31,70,,27,,29,61,,43,,15,,54
