T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,26,84,60,86,17,17,89,71,59,32,70,76
2,42,54,66,36,52,67,23,89,0,2,19,59
3,36,91,34,86,55,54,11,66,72,47,34,78
4,67,60,39,55,90,97,54,36,78,58,93,39
5,11,6,14,79,74,26,14,34,6,33,31,24
6,17,89,16,54,84,45,62,85,57,55,75,76
7,61,97,7,70,45,54,9,66,1,57,78,16
8,13,42,73,64,27,8,70,11,11,18,36,87
9,66,51,6,1,36,46,79,75,92,23,10,67
10,67,17,45,0,2,25,85,35,80,92,55,84
11,75,99,59,5,96,23,2,44,63,0,97,55
12,10,47,12,67,52,63,70,15,17,24,26,51
13,21,48,37,51,63,6,94,81,55,91,81,69
14,47,76,14,27,82,53,99,38,89,95,44,64
15,66,34,54,23,49,34,35,93,36,94,14,26
16,32,10,46,92,14,94,65,58,90,34,,8
17,60,10,66,55,11,69,9,35,43,18,,18
18,81,95,93,94,5,36,36,94,74,80,47,34
19,87,2,95,54,51,75,15,29,97,78,55,26
20,10,17,85,15,9,16,99,64,29,12,0,40
21,84,66,95,55,58,5,66,59,47,92,36,78
22,27,83,65,26,82,34,1,44,73,87,6,77
23,92,24,88,25,99,18,86,67,30,0,87,63
24,42,74,15,36,82,62,1,25,71,81,53,82
25,0,43,21,90,59,50,23,27,70,15,90,91
26,55,14,10,0,24,28,63,92,38,25,13,40
27,83,30,72,25,71,3,26,12,2,63,59,21
28,75,9,37,48,60,81,61,84,76,84,22,40
29,65,26,78,49,56,9,85,21,93,20,,82
30,25,22,52,78,93,49,93,53,99,72,,3
31,94,,56,,17,87,,48,,34,,50
