T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,2,20,4,47,36,50,31,57,96,34,98,72
2,37,57,75,42,19,86,28,34,5,15,94,65
3,15,77,88,28,32,16,16,9,94,68,22,82
4,49,23,70,2,44,67,5,72,1,96,62,10
5,97,55,60,15,75,0,9,65,70,14,3,96
6,49,10,25,3,9,58,33,91,35,90,16,17
7,76,81,79,52,18,23,50,14,74,52,20,15
8,44,67,3,82,17,29,37,97,0,13,64,24
9,45,43,50,89,13,15,2,59,12,52,24,40
10,29,63,1,74,76,39,94,18,2,47,86,32
11,23,30,8,24,92,48,64,10,57,41,56,82
12,36,71,88,25,14,50,85,63,72,5,56,57
13,15,99,17,46,89,18,72,57,95,15,78,23
14,94,68,40,39,14,74,56,58,54,3,82,87
15,34,77,11,21,83,98,23,99,58,69,3,90
16,91,0,12,2,24,66,67,57,36,21,39,46
17,36,62,22,55,74,43,64,52,99,43,79,90
18,97,66,21,96,31,46,90,12,34,16,50,46
19,67,22,28,61,67,27,2,59,68,32,50,36
20,95,8,66,53,77,79,25,76,37,67,52,66
21,97,66,91,62,66,96,53,47,41,6,22,84
22,99,16,68,56,47,99,96,92,9,43,97,65
23,7,39,73,66,43,43,86,2,50,22,83,81
24,4,65,60,10,88,50,64,18,42,13,10,45
25,74,65,64,48,40,32,83,29,56,10,83,
26,91,52,86,1,94,45,62,22,10,50,7,
27,82,60,99,66,55,5,18,13,71,6,75,23
28,66,41,89,97,6,82,95,48,89,56,26,18
29,88,74,12,47,69,71,65,84,10,5,,28
30,93,93,56,73,91,12,96,45,82,45,,68
31,49,,,,8,38,,51,,61,,57
