T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,32,28,60,55,13,87,25,0,16,97,98,78
2,76,90,34,61,85,95,29,96,19,9,4,4
3,76,72,11,46,37,40,95,6,70,19,24,81
4,85,71,33,57,89,81,98,50,22,82,55,63
5,42,67,22,93,51,39,32,57,9,4,94,26
6,7,3,72,1,55,25,36,37,56,98,90,66
7,14,33,93,9,6,8,34,45,7,46,56,34
8,63,80,38,0,72,34,79,65,32,29,78,32
9,6,59,97,82,61,80,35,77,11,87,,25
10,99,67,11,79,69,15,73,97,50,33,,64
11,75,59,38,74,98,7,86,3,26,14,,89
12,30,59,55,4,84,16,43,71,46,37,,15
13,77,35,91,5,68,48,53,87,85,60,48,15
14,56,71,84,50,32,9,14,66,41,25,39,20
15,3,94,38,85,71,0,15,42,17,92,15,37
16,21,6,95,86,6,91,73,76,95,44,54,53
17,73,98,79,61,2,22,74,1,61,86,19,7
18,76,75,6,28,77,63,5,36,89,60,93,14
19,42,46,99,90,2,1,77,17,48,10,15,74
20,78,41,84,39,53,52,75,53,11,74,16,11
21,21,72,72,35,59,27,23,34,16,77,62,11
22,55,80,89,78,98,33,5,50,38,58,83,88
23,38,83,15,2,68,13,99,52,47,91,37,6
24,32,78,28,51,80,65,24,29,1,15,70,80
25,22,29,64,14,3,4,57,11,30,82,4,56
26,12,61,45,41,88,9,34,86,1,92,45,8
27,74,34,83,25,94,16,16,44,39,71,90,85
28,22,92,52,10,96,19,28,81,40,40,97,15
29,87,48,28,45,62,9,26,37,43,34,,32
30,6,53,71,48,91,79,88,52,27,98,,43
31,22,,48,,44,17,,13,,35,,44
